Edad;Sexo;Periodo;Total
4;Mujeres;1986;262860
4;Mujeres;1985;276771
4;Mujeres;1984;287299
4;Mujeres;1983;300734
4;Mujeres;1982;309053
4;Mujeres;1981;319175
4;Mujeres;1980;321281
4;Mujeres;1979;324691
4;Mujeres;1978;319140
4;Mujeres;1977;321499
4;Mujeres;1976;318083
4;Mujeres;1975;314112
4;Mujeres;1974;309101
4;Mujeres;1973;310272
4;Mujeres;1972;319209
4;Mujeres;1971;315972
5;Total;2023;416318
5;Total;2022;429509
5;Total;2021;438615
5;Total;2020;443317
5;Total;2019;434169
5;Total;2018;456405
5;Total;2017;470187
5;Total;2016;478811
5;Total;2015;489252
5;Total;2014;516643
5;Total;2013;500214
5;Total;2012;498183
5;Total;2011;486889
5;Total;2010;480714
5;Total;2009;471466
5;Total;2008;448727
5;Total;2007;439708
5;Total;2006;426307
5;Total;2005;407838
5;Total;2004;390405
5;Total;2003;379574
5;Total;2002;366192
5;Total;2001;367861
5;Total;2000;371926
5;Total;1999;387424
5;Total;1998;400832
5;Total;1997;396842
5;Total;1996;398797
5;Total;1995;404477
5;Total;1994;405204
5;Total;1993;415628
5;Total;1992;424377
5;Total;1991;443969
5;Total;1990;472315
5;Total;1989;482613
5;Total;1988;514351
5;Total;1987;542726
5;Total;1986;568259
5;Total;1985;591426
5;Total;1984;621951
5;Total;1983;637386
5;Total;1982;658518
5;Total;1981;664801
5;Total;1980;667042
5;Total;1979;657806
5;Total;1978;661304
5;Total;1977;655263
5;Total;1976;647502
5;Total;1975;637182
5;Total;1974;639459
5;Total;1973;654786
5;Total;1972;649160
5;Total;1971;656254
5;Hombres;2023;214443
5;Hombres;2022;220874
5;Hombres;2021;225512
5;Hombres;2020;228824
5;Hombres;2019;223309
5;Hombres;2018;235210
5;Hombres;2017;242372
5;Hombres;2016;246754
5;Hombres;2015;252871
5;Hombres;2014;266737
5;Hombres;2013;258035
5;Hombres;2012;256800
5;Hombres;2011;250239
5;Hombres;2010;247742
5;Hombres;2009;241893
5;Hombres;2008;230668
5;Hombres;2007;224988
5;Hombres;2006;219397
5;Hombres;2005;209037
5;Hombres;2004;200973
5;Hombres;2003;194674
5;Hombres;2002;187692
5;Hombres;2001;188990
5;Hombres;2000;191267
5;Hombres;1999;199398
5;Hombres;1998;205966
5;Hombres;1997;204545
5;Hombres;1996;204789
5;Hombres;1995;207763
5;Hombres;1994;208354
5;Hombres;1993;213404
5;Hombres;1992;217253
5;Hombres;1991;227811
5;Hombres;1990;242642
5;Hombres;1989;247978
5;Hombres;1988;265072
5;Hombres;1987;280085
5;Hombres;1986;291481
5;Hombres;1985;303604
5;Hombres;1984;320429
5;Hombres;1983;327912
5;Hombres;1982;338804
5;Hombres;1981;342703
5;Hombres;1980;343570
5;Hombres;1979;338986
5;Hombres;1978;339485
5;Hombres;1977;337320
5;Hombres;1976;332488
5;Hombres;1975;326958
5;Hombres;1974;328303
5;Hombres;1973;334958
5;Hombres;1972;331898
5;Hombres;1971;335597
5;Mujeres;2023;201875
5;Mujeres;2022;208635
5;Mujeres;2021;213103
5;Mujeres;2020;214493
5;Mujeres;2019;210860
