Codigo;Provincias;Periodo;Total
16;Cuenca;2011;557
16;Cuenca;2010;592
16;Cuenca;2009;572
16;Cuenca;2008;688
16;Cuenca;2007;699
16;Cuenca;2006;699
16;Cuenca;2005;738
16;Cuenca;2004;711
16;Cuenca;2003;752
16;Cuenca;2002;747
16;Cuenca;2001;733
16;Cuenca;2000;804
16;Cuenca;1999;799
16;Cuenca;1998;829
16;Cuenca;1997;776
16;Cuenca;1996;852
16;Cuenca;1995;896
16;Cuenca;1994;898
16;Cuenca;1993;877
16;Cuenca;1992;987
16;Cuenca;1991;1020
16;Cuenca;1990;994
16;Cuenca;1989;1163
16;Cuenca;1988;1093
16;Cuenca;1987;1104
16;Cuenca;1986;1125
16;Cuenca;1985;1044
16;Cuenca;1984;1085
16;Cuenca;1983;1182
16;Cuenca;1982;1087
16;Cuenca;1981;1043
16;Cuenca;1980;1096
16;Cuenca;1979;1054
16;Cuenca;1978;1100
16;Cuenca;1977;1113
16;Cuenca;1976;1077
16;Cuenca;1975;1077
20;Gipuzkoa;2021;2084
20;Gipuzkoa;2020;1332
20;Gipuzkoa;2019;2496
20;Gipuzkoa;2018;2484
20;Gipuzkoa;2017;2581
20;Gipuzkoa;2016;2492
20;Gipuzkoa;2015;2450
20;Gipuzkoa;2014;2504
20;Gipuzkoa;2013;2477
20;Gipuzkoa;2012;2659
20;Gipuzkoa;2011;2742
20;Gipuzkoa;2010;2825
20;Gipuzkoa;2009;2981
20;Gipuzkoa;2008;3068
20;Gipuzkoa;2007;3093
20;Gipuzkoa;2006;3191
20;Gipuzkoa;2005;3300
20;Gipuzkoa;2004;3511
20;Gipuzkoa;2003;3499
20;Gipuzkoa;2002;3435
20;Gipuzkoa;2001;3335
20;Gipuzkoa;2000;3480
20;Gipuzkoa;1999;3230
20;Gipuzkoa;1998;3280
20;Gipuzkoa;1997;3103
20;Gipuzkoa;1996;3147
20;Gipuzkoa;1995;3265
20;Gipuzkoa;1994;3131
20;Gipuzkoa;1993;3105
