Codigo;Provincias;Sexo;Periodo;Total
33;Asturias;Total;2017;6012
33;Asturias;Total;2016;6347
33;Asturias;Total;2015;6455
33;Asturias;Total;2014;6600
33;Asturias;Total;2013;6671
33;Asturias;Total;2012;7622
33;Asturias;Total;2011;7782
33;Asturias;Total;2010;7763
33;Asturias;Total;2009;8210
33;Asturias;Total;2008;8221
33;Asturias;Total;2007;7833
33;Asturias;Total;2006;7596
33;Asturias;Total;2005;7482
33;Asturias;Total;2004;7218
33;Asturias;Total;2003;7107
33;Asturias;Total;2002;6729
33;Asturias;Total;2001;6849
33;Asturias;Total;2000;6731
33;Asturias;Total;1999;6547
33;Asturias;Total;1998;6344
33;Asturias;Total;1997;6516
33;Asturias;Total;1996;6530
33;Asturias;Total;1995;6588
33;Asturias;Total;1994;6653
33;Asturias;Total;1993;6978
33;Asturias;Total;1992;7494
33;Asturias;Total;1991;7728
33;Asturias;Total;1990;7775
33;Asturias;Total;1989;7964
33;Asturias;Total;1988;8553
33;Asturias;Total;1987;9441
33;Asturias;Total;1986;10249
33;Asturias;Total;1985;10628
33;Asturias;Total;1984;11222
33;Asturias;Total;1983;11868
33;Asturias;Total;1982;12443
33;Asturias;Total;1981;13380
33;Asturias;Total;1980;14509
33;Asturias;Total;1979;15389
33;Asturias;Total;1978;15854
33;Asturias;Total;1977;17380
