Codigo;Provincias;Sexo;Periodo;Total
01;Araba/Álava;Total;1998;2107
01;Araba/Álava;Total;1997;2038
01;Araba/Álava;Total;1996;2089
01;Araba/Álava;Total;1995;2051
01;Araba/Álava;Total;1994;1932
01;Araba/Álava;Total;1993;1896
01;Araba/Álava;Total;1992;1824
01;Araba/Álava;Total;1991;1918
01;Araba/Álava;Total;1990;1887
01;Araba/Álava;Total;1989;1756
01;Araba/Álava;Total;1988;1747
01;Araba/Álava;Total;1987;1592
01;Araba/Álava;Total;1986;1614
01;Araba/Álava;Total;1985;1636
01;Araba/Álava;Total;1984;1451
01;Araba/Álava;Total;1983;1513
01;Araba/Álava;Total;1982;1368
01;Araba/Álava;Total;1981;1461
01;Araba/Álava;Total;1980;1537
01;Araba/Álava;Total;1979;1555
01;Araba/Álava;Total;1978;1617
01;Araba/Álava;Total;1977;1584
01;Araba/Álava;Total;1976;1607
01;Araba/Álava;Total;1975;1534
01;Araba/Álava;Hombres;2021;1560
01;Araba/Álava;Hombres;2020;1717
01;Araba/Álava;Hombres;2019;1447
01;Araba/Álava;Hombres;2018;1449
01;Araba/Álava;Hombres;2017;1466
01;Araba/Álava;Hombres;2016;1422
01;Araba/Álava;Hombres;2015;1410
01;Araba/Álava;Hombres;2014;1264
01;Araba/Álava;Hombres;2013;1401
01;Araba/Álava;Hombres;2012;1320
01;Araba/Álava;Hombres;2011;1378
01;Araba/Álava;Hombres;2010;1278
01;Araba/Álava;Hombres;2009;1316
01;Araba/Álava;Hombres;2008;1277
01;Araba/Álava;Hombres;2007;1282
01;Araba/Álava;Hombres;2006;1223
01;Araba/Álava;Hombres;2005;1396
01;Araba/Álava;Hombres;2004;1197
01;Araba/Álava;Hombres;2003;1229
01;Araba/Álava;Hombres;2002;1136
01;Araba/Álava;Hombres;2001;1224
01;Araba/Álava;Hombres;2000;1203
01;Araba/Álava;Hombres;1999;1228
01;Araba/Álava;Hombres;1998;1159
01;Araba/Álava;Hombres;1997;1154
01;Araba/Álava;Hombres;1996;1132
01;Araba/Álava;Hombres;1995;1168
01;Araba/Álava;Hombres;1994;1091
01;Araba/Álava;Hombres;1993;1066
01;Araba/Álava;Hombres;1992;1038
01;Araba/Álava;Hombres;1991;1081
01;Araba/Álava;Hombres;1990;1047
01;Araba/Álava;Hombres;1989;978
01;Araba/Álava;Hombres;1988;998
